KGS_ID,Latitude,Longitude,Location,Operator,Lease,API,API_NUM_NODASH,Elevation,Elev_Ref,Depth_start,Depth_stop,URL,url_year,key
1053244239,38.128327,-101.1162295,"T22S R35W, Sec. 24,  NE SE SW NW",Petroleum Development Co.,MORGAN LAND & CATTLE #2-24,15-093-22010,15093220100000.0,3018.0, KB,0.0,5008.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056815536.las,2025.0,1053244239|15093220100000.0
1006078889,38.1661615,-101.2350929,"T22S R36W, Sec. 2,     SE",BRAZOS PET,ALDERMAN 1,15-093-20830,15093208300000.0,3214.0, KB,192.5,2283.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S36W/1028091652.las,,1006078889|15093208300000.0
1052626860,38.1181802,-101.2239976,"T22S R36W, Sec. 25,  SE NW NE NW","Palomino Petroleum, Inc.",RAIDERS OF THE LOST ARK 1,15-093-22001,15093220010000.0,3141.0, KB,8.0,5074.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1054916925.las,2024.0,1052626860|15093220010000.0
1006079622,38.1080587,-101.2712531,"T22S R36W, Sec. 28,  NW NW SE SE",MAREXCO,KLEEMAN 1-28,15-093-21246,15093212460000.0,3226.0, KB,2600.0,3180.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S36W/1029276128.las,,1006079622|15093212460000.0
1006078773,38.1150621,-101.4088833,"T22S R37W, Sec. 29,     NW",OSBORN HEIRS,ROMANO 'H' 1,15-093-20747,15093207470000.0,3281.0, KB,257.0,2200.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1028091653.las,,1006078773|15093207470000.0
1006079538,38.10511,-101.4305539,"T22S R37W, Sec. 30,   SW SW SW","Berexco, Inc.",Avonne 1-30,15-093-21202,15093212020000.0,3327.0, KB,4690.0,4940.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028824.las,,1006079538|15093212020000.0
1006079510,38.1014722,-101.4305405,"T22S R37W, Sec. 31,   SW NW NW","Berexco, Inc.",Avril 2-31,15-093-21188,15093211880000.0,3321.0, KB,4660.0,4920.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028813.las,,1006079510|15093211880000.0
1006079383,38.0951805,-101.4156377,"T22S R37W, Sec. 31,    NE SE","Berexco, Inc.",Modie 2-31,15-093-21109,15093211090000.0,3310.0, KB,4640.0,4890.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028814.las,,1006079383|15093211090000.0
1006079476,38.0957097,-101.4255208,"T22S R37W, Sec. 31,  SE NW NE SW",BEREXCO INC,PATTERSON UNIT was MODIE 4-31,15-093-21171,15093211710000.0,3321.0, KB,4660.0,4910.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028822.las,,1006079476|15093211710000.0
1006079458,38.0915407,-101.4202232,"T22S R37W, Sec. 31,    SW SE",BEREXCO INC,PATTERSON UNIT was MODIE 3-31,15-093-21148,15093211480000.0,3320.0, KB,4640.0,4890.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028819.las,,1006079458|15093211480000.0
1006079514,38.0907097,-101.4167112,"T22S R37W, Sec. 31,   SW SE SE",BEREXCO INC,PATTERSON UNIT was MODIE 5-31,15-093-21190,15093211900000.0,3318.0, KB,4650.0,4900.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028823.las,,1006079514|15093211900000.0
1006079472,38.092435,-101.4236623,"T22S R37W, Sec. 31,   NE SE SW","Berexco, Inc.",George T 1-31,15-093-21161,15093211610000.0,3325.0, KB,4650.0,4900.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028796.las,,1006079472|15093211610000.0
1006079307,38.0951649,-101.4202232,"T22S R37W, Sec. 31,    NW SE","Berexco, Inc.",Modie 1-31,15-093-21070,15093210700000.0,3316.0, KB,4660.0,4910.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028797.las,,1006079307|15093210700000.0
1006079500,38.0988006,-101.4289495,"T22S R37W, Sec. 31,    SW NW","BEREXCO, INC.",PATTERSON UNIT was AVRIL 1-31,15-093-21183,15093211830000.0,3320.0, KB,4660.0,4920.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S37W/1037028795.las,,1006079500|15093211830000.0
1038219026,38.1724143,-101.4551066,"T22S R38W, Sec. 2,  NE NE SW NE","Osborn Heirs Co., LTD",Blake 1-2,15-093-21832,15093218320000.0,3321.0, KB,450.0,5650.0,https://www.kgs.ku.edu//1056925309.las,,1038219026|15093218320000.0
1006078056,38.1349374,-101.4703328,"T22S R38W, Sec. 15, C   SE SE",TELSTAR RESOURCES LTD,BONTRAGER 1,15-093-20371,15093203710000.0,3349.0, KB,4650.0,4930.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S38W/1037028799.las,,1006078056|15093203710000.0
